,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score
4964,rbauction_10033132,-0.402470456767821,0.7938839316592435,0,-0.6666666666666666,0,bkt,1,,,,26.468484624284077
4141,rbauction_11193138,-0.5135733665429933,0.4864707046003646,0,0.0,0,bkt,1,,aperture tires,,24.62009371563355
1019,rbauction_10549146,-0.36878285015768775,-0.5626774468916101,0,0.3333333333333333,0,bkt,1,,foam filled tires,,32.908215988939325
6160,rbauction_10847097,-0.5135733665429933,0.4209673624604511,0,0.0,1,,0,,solid tires,,30.803540475412245
5433,rbauction_10749124,0.08757358863328601,-0.4786169430554492,0,-0.6666666666666666,0,,0,,,,40.03458285342162
1735,bigiron_DN5449,0.09654228932364095,-0.25443981730597826,0,-0.6666666666666666,0,"6' Standard Bucket Attachment, Foot Pedal Hydraulics Lift And Bucket",1,4 Cylinder Tier 4 Diesel,10-16.5NHS Tires,Hydrostatic 2 Speed Transmission,32.39831312590839
1921,rbauction_10611209,-0.5135733665429933,0.4406134764052837,0,0.3333333333333333,0,bkt,1,,solid tires,,24.624244373015472
4263,rbauction_10766964,-0.336529201143553,0.6114230896674391,0,1.0,0,,0,,,,30.90944356754729
5087,rbauction_11261337,0.18876986893083458,-3.9058613430707534,0,-0.6666666666666666,0,hydraulic bucket attachment,1,,,,36.84462421410269
1759,rbauction_10099775,-0.24726775590351657,0.047635828637275904,0,-0.3333333333333333,0,bkt,1,,,,22.380245731322034
5996,ironplanet_1741765,-0.14257102428612622,0.0,1,-0.6666666666666666,0,,0,,,,54.62377174393404
54,rbauction_10304494,-0.6927197423427893,0.0,1,0.6666666666666666,0,,0,,,,20.364567307881803
5767,rbauction_11164226,-0.21970666902392466,0.9168030298718761,0,0.3333333333333333,0,bkt,1,,,,44.71514523345822
94,rbauction_10251278,-0.11851038872637609,-0.7223322463722144,0,-0.6666666666666666,0,,0,,,,18.311990552565387
5509,ironplanet_1830434,-0.36878285015768775,-6.73282429300883,0,-0.3333333333333333,0,"68"" Wide General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,Cushion Tires,,33.005875320558125
4331,rbauction_10626946,-0.402470456767821,0.6493475160710434,0,0.0,0,bkt,1,,,,28.556769583379868
4103,rbauction_10442911,-0.402470456767821,0.0,1,0.3333333333333333,0,,0,,,,25.968499383231826
2010,rbauction_10689288,-0.6927197423427893,1.0960510699146713,0,0.3333333333333333,0,,0,,,,33.51524691508124
4749,ironplanet_1766692,-0.402470456767821,-6.124070956468661,0,0.0,0,"68"" General Purpose Smooth Edge Bucket",1,,,,25.308049510359133
4771,rbauction_10166378,-0.402470456767821,0.0,1,0.3333333333333333,0,bkt,1,,,,32.659043736399624
1074,rbauction_10325487,-0.6438094588007637,1.5349201805782466,0,0.3333333333333333,0,bkt,1,,,,19.00837940458058
5795,rbauction_10764777,0.050598140148773396,-1.3423936200751159,0,-0.6666666666666666,0,bkt,1,,,,27.347852896304964
2859,PW_L6334,-0.6250962521468022,0.11366657152563955,0,0.6666666666666666,0,6'W bucket,1,Kubota 2.2L four cylinder diesel engine,10-16.5 foam-filled tires,Hydrostatic transmission,28.08125396516206
1206,rbauction_10118618,-0.5978653096258961,0.39826175092113175,0,0.0,0,bkt,1,,,,37.925127298443634
5330,ironplanet_1891980,-0.21970666902392466,-6.73282429300883,0,-0.3333333333333333,0,"67"" Wide General Purpose Smooth Edge Bucket",1,Ultra Low Sulfur Diesel,Cushion Tires,,74.87819089636038
2792,PW_H1005,-0.7895977980601474,-2.3264212567165217,0,0.0,1,"AMH Arrow 68""W bucket",1,Isuzu four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,31.73253410500886
4994,rbauction_11059048,-1.0,0.0,1,0.0,1,,0,,,,25.844937782325
1235,rbauction_10839941,-0.7450057390983122,0.7189797092591322,0,1.3333333333333333,0,,0,,,,25.237145259739734
2827,PW_L5414,-0.7028923294870761,0.0,1,0.3333333333333333,0,"73""W bucket, Concrete residue in bucket",1,Komatsu four cylinder turbo diesel engine,12-16.5 tires,Two speed hydrostatic transmission,43.873764353161924
4657,rbauction_10777245,-0.14257102428612622,-0.6182658593249266,0,-0.6666666666666666,0,bkt,1,,,,29.773489784530806
4820,rbauction_10873960,0.18876986893083458,0.2776963021390221,0,0.0,0,bkt,1,,,,47.27189320181094
6174,rbauction_10835579,-0.14257102428612622,-0.49653362764778536,0,-0.6666666666666666,0,bkt,1,,,,15.920103210173686
6104,ironplanet_1696703,-0.5978653096258961,-6.124070956468661,0,0.0,0,,0,,,,27.843452758120357
